snr,rep,MSE
0.1,74,91.17474962667364
0.1,75,73.19894911912547
0.1,76,81.59460131187328
0.1,77,35.11994285971194
0.1,78,35.72757048340444
0.1,79,64.55168613966356
0.1,80,29.424367834542792
0.1,81,48.84978655423438
0.1,82,114.45025752664736
0.1,83,29.98160985499953
0.1,84,81.81546561881777
0.1,85,108.08749735450391
0.1,86,23.70442794245591
0.1,87,42.52469178769181
0.1,88,48.04365774136762
0.1,89,19.062145180849917
0.1,90,62.71465694416995
0.1,91,59.2247848286105
0.1,92,26.358909015455858
0.1,93,66.52860413451242
0.1,94,116.63417932795024
0.1,95,87.0896659159772
0.1,96,14.431012861938639
0.1,97,80.75558879816943
0.1,98,46.567493703425896
0.1,99,48.238345533548284
0.5,0,22.121732087239014
0.5,1,12.882861670784859
0.5,2,15.072992160511218
0.5,3,14.611851800366127
0.5,4,23.287736320506447
0.5,5,17.126104018074308
0.5,6,23.723427794013165
0.5,7,40.5947977670549
0.5,8,19.040324655485367
0.5,9,22.84246010011449
0.5,10,19.180303372356562
0.5,11,14.752731518389574
0.5,12,20.41898379422639
0.5,13,16.492919648661932
0.5,14,14.25801466479139
0.5,15,10.681366252611667
0.5,16,20.558835224130487
0.5,17,10.497915173656835
0.5,18,17.60117827287059
0.5,19,9.035782909248352
0.5,20,10.336850803074155
0.5,21,16.52134706930729
0.5,22,12.949184081796247
0.5,23,11.444735023978126
0.5,24,17.47531071721446
0.5,25,29.9612668431649
0.5,26,12.581106786829015
0.5,27,8.28333013746556
0.5,28,8.377457048589811
0.5,29,19.383295237896505
0.5,30,15.58127795155547
0.5,31,13.949902368545281
0.5,32,19.808512828421943
0.5,33,26.888453112618517
0.5,34,20.685463762401426
0.5,35,18.472377659648284
0.5,36,18.435790982577004
0.5,37,9.59643787276407
0.5,38,14.2492956998048
0.5,39,11.373910050032746
0.5,40,12.578520893550534
0.5,41,33.78518578310103
0.5,42,16.816232971767946
0.5,43,13.673061237230348
0.5,44,13.221811967312858
0.5,45,20.351365480830385
0.5,46,43.84389440283267
0.5,47,21.576744640441138
0.5,48,14.00878595745819
0.5,49,18.060639016759087
0.5,50,22.925143820660654
0.5,51,25.169351679339503
0.5,52,7.977334571164202
0.5,53,9.862693673015313
0.5,54,15.24350731786984
0.5,55,19.355486880179836
0.5,56,26.973683052345223
0.5,57,14.597899333135414
0.5,58,39.17760836769213
0.5,59,18.543194959524683
0.5,60,20.10811798718339
0.5,61,11.101281296173074
0.5,62,17.24200272591904
0.5,63,18.42159069397609
0.5,64,15.820542007423919
0.5,65,18.273633410719434
0.5,66,2.5239105804290456
0.5,67,19.884257982672484
0.5,68,18.48422657091456
0.5,69,16.099535815342804
0.5,70,15.379254666951626
0.5,71,17.721299499137608
0.5,72,16.42221184899589
0.5,73,17.981462157232368
0.5,74,22.816688247625148
0.5,75,18.630413275971442
0.5,76,19.206364342809888
0.5,77,11.001383580062845
0.5,78,20.02890658468948
0.5,79,18.814678892903906
0.5,80,10.03500132871645
0.5,81,16.053826768847944
0.5,82,39.169624892930344
0.5,83,9.961230333914562
0.5,84,17.93554586793726
0.5,85,13.400364072142521
0.5,86,17.423525983768243
0.5,87,17.097221314353067
0.5,88,20.084616105334185
0.5,89,11.69627607609205
0.5,90,19.12233896511417
0.5,91,21.52356466432005
0.5,92,15.887522400885247
0.5,93,19.615280935452844
0.5,94,30.493487916754866
0.5,95,19.56505352045332
0.5,96,13.685324327624945
0.5,97,15.803777902737004
0.5,98,7.596358891772398
0.5,99,20.50370301265755
1.0,0,12.154417144620817
1.0,1,12.2077927814673
1.0,2,11.882099759535453
1.0,3,11.652853574576348
1.0,4,21.82649077585585
1.0,5,10.133979709850129
1.0,6,13.478127737630627
1.0,7,17.636704889358473
1.0,8,12.180271083504955
1.0,9,10.503295584927088
1.0,10,11.171147986915726
1.0,11,9.29693131533966
1.0,12,12.019273750155746
1.0,13,9.38636896572332
1.0,14,11.227413776289362
1.0,15,6.733805354349547
1.0,16,9.916961161226421
1.0,17,10.196962759233934
1.0,18,18.8311480810846
1.0,19,6.369349693514812
1.0,20,10.461575236354719
1.0,21,10.195400802123823
1.0,22,9.339313691217779
1.0,23,7.486159467972777
1.0,24,12.072330790232165
1.0,25,14.711905802093625
1.0,26,8.187820694701276
1.0,27,14.48793577920856
1.0,28,5.136892941039154
1.0,29,11.492708891594837
1.0,30,6.658671205993143
1.0,31,9.139533189469658
1.0,32,11.942320710157528
1.0,33,15.277948936728919
1.0,34,8.347610296701081
1.0,35,15.701626321445923
1.0,36,15.862049177123492
1.0,37,6.50517469520086
1.0,38,9.533413897560616
1.0,39,7.461570081897038
1.0,40,9.711203624668089
1.0,41,20.066061781627784
1.0,42,9.423494092772987
1.0,43,8.190026676927635
1.0,44,8.680259795030864
1.0,45,14.665743099606608
1.0,46,20.349453439264035
1.0,47,11.704000240383857
1.0,48,7.144271695508893
1.0,49,13.457732332423717
1.0,50,14.014584179905025
1.0,51,15.095096043922451
1.0,52,6.33999664276437
1.0,53,6.537607186605132
1.0,54,10.085078855434261
1.0,55,17.154916013809757
1.0,56,17.850417617979822
1.0,57,8.143777529498838
1.0,58,27.312852884877795
1.0,59,11.50438439290701
1.0,60,12.595133600663344
1.0,61,9.074348064958482
1.0,62,8.784491821698495
1.0,63,13.060570844402417
1.0,64,8.876124651888935
1.0,65,11.200098421027231
1.0,66,4.341775294848416
1.0,67,11.913108144225893
1.0,68,13.713039740610867
1.0,69,13.697093348735452
1.0,70,10.978610670301736
1.0,71,11.271290953043799
1.0,72,14.003484785687194
1.0,73,12.382295707045923
1.0,74,15.249948311769534
1.0,75,19.517594681507582
1.0,76,12.586193520080483
1.0,77,6.66166583361674
1.0,78,10.468285764815802
1.0,79,10.815577936955824
1.0,80,9.22303546462134
1.0,81,11.338262553859295
1.0,82,13.667414630368324
1.0,83,6.758489669116734
1.0,84,10.291816972859673
1.0,85,9.770504370069496
1.0,86,8.464361227765115
1.0,87,11.476292004012087
1.0,88,13.307494700081657
1.0,89,8.715144890691247
1.0,90,13.729628988331497
1.0,91,12.44952672119408
1.0,92,14.380980767043921
1.0,93,13.464074795594051
1.0,94,23.621027313866712
1.0,95,12.684302712409458
1.0,96,11.80603119403097
1.0,97,10.548043458214638
1.0,98,5.342294289926867
1.0,99,13.053679849584416
2.0,0,12.109037851853772
2.0,1,7.985220369855194
2.0,2,7.723006748653052
2.0,3,6.553136007545764
2.0,4,15.779207792144822
2.0,5,8.075192639449035
2.0,6,10.392591228440988
2.0,7,10.418925638422706
2.0,8,12.066431167036937
2.0,9,6.028252395342215
2.0,10,9.327645310168664
2.0,11,7.878944023233476
2.0,12,9.01637405870929
2.0,13,7.443858535896717
2.0,14,8.943794773503797
2.0,15,6.164499129478816
2.0,16,8.749790638776146
2.0,17,6.933903269660921
2.0,18,8.080870984627252
2.0,19,6.965958442034043
2.0,20,7.280134142187609
2.0,21,7.487065515020853
2.0,22,5.883427372126069
2.0,23,6.979246535595599
2.0,24,7.745940307590931
2.0,25,5.6619297089604785
2.0,26,7.6739621752449585
2.0,27,13.367985926460141
2.0,28,3.954510968517823
2.0,29,12.523355008157846
2.0,30,5.355020744220416
2.0,31,6.576049082660563
2.0,32,8.423147768195737
2.0,33,6.4009803624233035
2.0,34,5.4611636117856195
2.0,35,10.097281753384923
2.0,36,9.666510689590709
2.0,37,4.913258373327386
2.0,38,7.332604738191112
2.0,39,5.74315628445848
2.0,40,5.501933234659853
2.0,41,16.53591181666738
2.0,42,6.441101301867166
2.0,43,4.71595382233158
2.0,44,5.780731148247163
2.0,45,9.424787425422183
2.0,46,12.271529456819142
2.0,47,6.000186378342351
2.0,48,4.75356665243481
2.0,49,7.906475000831491
2.0,50,9.226930643064359
2.0,51,9.9574621964973
2.0,52,4.368167084469454
2.0,53,5.48935772449525
2.0,54,7.456421197131942
2.0,55,9.801460191336414
2.0,56,19.55090686583472
2.0,57,6.4755769859529755
2.0,58,16.023422876192218
2.0,59,11.67682692917783
2.0,60,12.591750403988287
2.0,61,8.279857442748137
2.0,62,7.080655290888616
2.0,63,11.736770121015681
2.0,64,5.117828893762223
2.0,65,8.104708365962633
2.0,66,3.1991573399380733
2.0,67,6.657394913127951
2.0,68,10.335095111756633
2.0,69,9.797834325056035
2.0,70,7.137548240978715
2.0,71,6.763579049505566
2.0,72,9.753640481741003
2.0,73,7.812158546413089
2.0,74,13.472491324176163
2.0,75,15.350333094865833
2.0,76,8.902685189285695
2.0,77,5.792510395999292
2.0,78,8.723824994764636
2.0,79,8.446139043954167
2.0,80,6.788770419607237
2.0,81,8.63249017131513
2.0,82,11.596436913468313
2.0,83,6.40088761750825
2.0,84,5.480116369539559
2.0,85,6.0229303512925725
2.0,86,8.220688385892808
2.0,87,8.85700497830686
2.0,88,11.631128783873333
2.0,89,6.319827207875176
2.0,90,8.301038044850676
2.0,91,11.768766057022205
