assignment,label,rep,MSE
logit,Linear logit,24,5.035168498726407
logit,Linear logit,25,4.5044056523302825
logit,Linear logit,26,6.116632982953699
logit,Linear logit,27,5.858475933853648
logit,Linear logit,28,3.0566769217636485
logit,Linear logit,29,5.178014320481258
logit,Linear logit,30,3.902360163336031
logit,Linear logit,31,3.920554564615816
logit,Linear logit,32,4.299574023350061
logit,Linear logit,33,4.2035478599915095
logit,Linear logit,34,4.788861820818233
logit,Linear logit,35,8.164739079508848
logit,Linear logit,36,4.776660859037966
logit,Linear logit,37,2.683791738859896
logit,Linear logit,38,5.3773940382916425
logit,Linear logit,39,4.930709895468714
logit,Linear logit,40,4.56477557305057
logit,Linear logit,41,6.770290342027965
logit,Linear logit,42,5.393680689089154
logit,Linear logit,43,3.9461616155395496
logit,Linear logit,44,3.106206947278262
logit,Linear logit,45,5.066596309988776
logit,Linear logit,46,6.10008276045862
logit,Linear logit,47,4.143006543253941
logit,Linear logit,48,4.234516537145061
logit,Linear logit,49,4.75187081831992
logit,Linear logit,50,5.362717148393739
logit,Linear logit,51,7.444735465890819
logit,Linear logit,52,3.1844923872580417
logit,Linear logit,53,3.5299688394360356
logit,Linear logit,54,4.078814352228882
logit,Linear logit,55,4.705434745003018
logit,Linear logit,56,8.247904161451238
logit,Linear logit,57,4.147069021122939
logit,Linear logit,58,4.662357472942664
logit,Linear logit,59,3.5653005422132305
logit,Linear logit,60,8.310471642530507
logit,Linear logit,61,6.465075447151595
logit,Linear logit,62,5.22397119825592
logit,Linear logit,63,4.811454790836631
logit,Linear logit,64,2.9047429398813085
logit,Linear logit,65,4.535524381811218
logit,Linear logit,66,1.9009715660449895
logit,Linear logit,67,4.485559855951203
logit,Linear logit,68,4.248370815626759
logit,Linear logit,69,3.788879807424304
logit,Linear logit,70,4.951028562113074
logit,Linear logit,71,5.0114593540530326
logit,Linear logit,72,7.441925836830172
logit,Linear logit,73,4.173148294849627
logit,Linear logit,74,9.361407130633935
logit,Linear logit,75,8.477475314085535
logit,Linear logit,76,4.639739032321557
logit,Linear logit,77,3.5866176266194505
logit,Linear logit,78,4.727942957661828
logit,Linear logit,79,4.120061595621726
logit,Linear logit,80,3.6460889183397382
logit,Linear logit,81,5.978580032703125
logit,Linear logit,82,6.610708913061265
logit,Linear logit,83,4.094315949618421
logit,Linear logit,84,4.380606424308698
logit,Linear logit,85,3.985687333973103
logit,Linear logit,86,8.312008308315656
logit,Linear logit,87,4.146647378087296
logit,Linear logit,88,6.796311310334937
logit,Linear logit,89,4.44709607713426
logit,Linear logit,90,4.594079001177093
logit,Linear logit,91,6.6459065195799285
logit,Linear logit,92,7.733248552035215
logit,Linear logit,93,5.9662368446695035
logit,Linear logit,94,5.49218477658714
logit,Linear logit,95,4.004081020180883
logit,Linear logit,96,6.003402638242882
logit,Linear logit,97,5.738059320071649
logit,Linear logit,98,3.6566991796906496
logit,Linear logit,99,9.858351731390245
nonlinear,Nonlinear logit,0,4.573520254311559
nonlinear,Nonlinear logit,1,5.932538797106185
nonlinear,Nonlinear logit,2,4.9676922846853895
nonlinear,Nonlinear logit,3,3.4828728152232022
nonlinear,Nonlinear logit,4,6.78680159415138
nonlinear,Nonlinear logit,5,2.6036882463446247
nonlinear,Nonlinear logit,6,6.868489909360644
nonlinear,Nonlinear logit,7,6.429228007179603
nonlinear,Nonlinear logit,8,5.283703597313043
nonlinear,Nonlinear logit,9,4.379565308625825
nonlinear,Nonlinear logit,10,3.2312127797125885
nonlinear,Nonlinear logit,11,3.983577901852741
nonlinear,Nonlinear logit,12,5.771899686911688
nonlinear,Nonlinear logit,13,4.377598179155553
nonlinear,Nonlinear logit,14,4.134901321434254
nonlinear,Nonlinear logit,15,3.826067763634115
nonlinear,Nonlinear logit,16,4.041658218127416
nonlinear,Nonlinear logit,17,3.753508805809471
