design,n_samples,n_features,GenTE Joint Estimation MSE,GenTE Joint Estimation MSE std,GenTE Joint MC MSE,GenTE Joint MC MSE std,GenTE Direct MSE,GenTE Direct MSE std,grid vs MC gap (%),gain of quantile vs direct (%)
heavy,200,4,0.31571718763342344,0.16075754961661268,0.31710725818330593,0.16153419225821494,0.2880820809254443,0.1488211943665914,0.44028979236204685,-9.59278918674955
heavy,200,8,0.6731161365381125,0.34663309033019163,0.674452217980855,0.34753997274496007,0.3850256142608754,0.3038535395667687,0.19849196449427156,-74.8237290213218
heavy,500,2,0.05165277974185895,0.050561861251208165,0.05163084619491763,0.05071931184513727,0.09193116763667232,0.07766229043295768,-0.04246343962693963,43.81363680052497
heavy,500,4,0.2133031026179939,0.162439164791944,0.2141552170770965,0.16318745547427582,0.1928420961186338,0.10922541340770259,0.39948526235394816,-10.610238589593424
heavy,500,8,0.36550818098864696,0.2018416794587055,0.36679581786722004,0.20265671361958773,0.2223880055829088,0.12080604223852427,0.3522867463842292,-64.35606768926272
heavy,1000,2,0.0480104068155406,0.04881177690093611,0.04795726494086263,0.048646607606388,0.04408058723488535,0.039744317307279356,-0.11068824074360256,-8.915079918774737
heavy,1000,4,0.15778515182471378,0.10119649769859189,0.15870030283116957,0.101844820745244,0.10937279146741505,0.10327726449406724,0.5799981784549919,-44.263623253798
heavy,1000,8,0.28378940293969396,0.13963134225482002,0.2850296424177426,0.14004435596115852,0.15744628219481302,0.07372742917521706,0.4370281149335893,-80.24522331276948
skew,200,2,0.10310012537847854,0.08733620888937339,0.10262377427475215,0.08673900256038973,0.29736965006307153,0.32509052218019296,-0.4620276667731614,65.32930466958844
skew,200,4,0.33358307963754236,0.18367292780586053,0.33495216535550854,0.183986841390381,0.3525128859252418,0.20650006899771117,0.4104182140934039,5.369961508786936
skew,200,8,0.7468806228228969,0.45514444395320114,0.7485283187961607,0.4557746643535644,0.4051086383790847,0.22779122368683188,0.22061035229915982,-84.36551385606236
skew,500,2,0.061050668926755494,0.04967084319476166,0.060491723486701676,0.049678485809674384,0.18643639152597477,0.8207273765872306,-0.9155435147228334,67.2538883492337
skew,500,4,0.21386247239747988,0.14944518579540117,0.21496165451242163,0.15025037426625912,0.22140906885955516,0.10898358569665649,0.5139668042829132,3.4084405399230744
skew,500,8,0.4029811705654381,0.23833953679090686,0.40470800958118824,0.23887366886421588,0.26415195276880565,0.11037901576386902,0.4285160553102682,-52.55657447974282
skew,1000,2,0.05378462199502478,0.05113815820018126,0.05293320576551922,0.050688756982530545,0.04276250478468056,0.05167400380181414,-1.583010529634882,-25.775190826269913
skew,1000,4,0.1689232913447819,0.10320692978507172,0.16985022144316178,0.1041305736175875,0.126449061034049,0.06460548148866001,0.5487284145369651,-33.58999265269029
skew,1000,8,0.2765573128891989,0.1372577265547089,0.2771006026737254,0.13834702045631497,0.1803763565307197,0.0884395964638142,0.1964474483971312,-53.32237451092916
mixture,200,2,0.31015500875222535,0.2844888905493151,0.3133749520935893,0.29004407518017794,2.0500310497973686,1.9308353279275785,1.0381722849867847,84.87071652973832
mixture,200,4,0.9837707444433833,0.7729733943203734,0.990151468717984,0.7717239255881987,1.7351952576670828,1.0242444427810184,0.6485987015410677,43.30489666240599
mixture,200,8,1.5677110166831256,0.6347806746490041,1.5766363603542755,0.637583082195857,1.2223231361239881,0.5978209381308015,0.5693232729864698,-28.256675370996387
mixture,500,2,0.14693956568143815,0.09944343631126933,0.14835330965425228,0.09807431731568031,0.7577896788252713,0.33888698768254477,0.9621261409463375,80.60945275617577
mixture,500,4,0.35705839940868656,0.1781708805466207,0.36530241984734785,0.18037971666341732,1.1822578208958847,0.4830759071824097,2.308871728634297,69.79860119359441
mixture,500,8,0.7771328442713156,0.3163958762825945,0.7862029522642486,0.31964285397947545,1.1205719676551977,0.3622176459051827,1.1671245218618598,30.648555674878263
mixture,1000,2,0.1355527292713113,0.1401636726924043,0.1358174628893125,0.13800212219914648,0.364399796955074,0.13505562752209715,0.195299363889128,62.801096377113716
mixture,1000,4,0.28462545056391125,0.11734658538809009,0.2939392484435706,0.11957332241335418,0.7655430721130847,0.24043009165306176,3.2722997403101135,62.82045244322101
mixture,1000,8,0.47338882775157665,0.1783828426974621,0.48139948914554404,0.18185285363234374,0.9029027315618008,0.22154067611712258,1.6921948563963989,47.57034050248914
